startor,receptor,relation_type,fig_name,number,reftext,year,figtitle,papertitle,caption,figlink,pmcid,filename
beta-catenin,APOPTOSIS,activate_relation,PMC5392286__oncotarget-08-17785-g007.jpg,Figure 7,"Yun Cui, et al. Oncotarget. 2017 Mar 14;8(11):17785-17794.",2017.0,,Upregulated lncRNA SNHG1 contributes to progression of non-small cell lung cancer through inhibition of miR-101-3p and activation of Wnt/β-catenin signaling pathway.,. The cartoon of the mechanism underlying the SNHG1-miR-101-3p-SOX9 axis in NSCLC.,/pmc/articles/PMC5392286/figure/F7/,PMC5392286,oncotarget-08-17785-g007.jpg
beta-catenin,PROLIFERATION,activate_relation,PMC5392286__oncotarget-08-17785-g007.jpg,Figure 7,"Yun Cui, et al. Oncotarget. 2017 Mar 14;8(11):17785-17794.",2017.0,,Upregulated lncRNA SNHG1 contributes to progression of non-small cell lung cancer through inhibition of miR-101-3p and activation of Wnt/β-catenin signaling pathway.,. The cartoon of the mechanism underlying the SNHG1-miR-101-3p-SOX9 axis in NSCLC.,/pmc/articles/PMC5392286/figure/F7/,PMC5392286,oncotarget-08-17785-g007.jpg
beta-catenin,cell cycle,activate_relation,PMC5392286__oncotarget-08-17785-g007.jpg,Figure 7,"Yun Cui, et al. Oncotarget. 2017 Mar 14;8(11):17785-17794.",2017.0,,Upregulated lncRNA SNHG1 contributes to progression of non-small cell lung cancer through inhibition of miR-101-3p and activation of Wnt/β-catenin signaling pathway.,. The cartoon of the mechanism underlying the SNHG1-miR-101-3p-SOX9 axis in NSCLC.,/pmc/articles/PMC5392286/figure/F7/,PMC5392286,oncotarget-08-17785-g007.jpg
C-HCLCA1,CLCA,activate_relation,PMC4017675__nihms574943f5.jpg,Figure 5,"Anand C. Patel, et al. Annu Rev Physiol. ;71:425-449.",,"In sum, there is a critical clinical need for better understanding and treatment of inflammatory airway disease in general, and mucous cell metaplasia in particular",The Role of CLCA Proteins in Inflammatory Airway Disease.,"In sum, there is a critical clinical need for better understanding and treatment of inflammatory airway disease in general, and mucous cell metaplasia in particular. Although work is at an early stage, several lines of evidence already suggest that CLCA proteins (particularly hCLCA1) may be master regulators of mucin gene expression in humans. We have gradually developed the proposal that the airway maintains a special program for host defense and that changes in this same program may lead to airway disease. The same argument can be made for mucus secretion. Thus, under normal circumstances a physiologic level of mucus production allows for mucociliary clearance of particulate matter from the airway and aids in defense against respiratory pathogens. However, if mucus secretion is excessive, it leads to airway obstruction and consequent dysfunction. In both normal and abnormal conditions, there appears to be an immune axis that drives cytokine production, and in turn, a downstream mechanism that translates the cytokine signal into mucin gene expression. In humans, this downstream mechanism features hCLCA1, the first member of a newly defined family of “chloride channel calcium-activated” (CLCA) proteins in humans. It is possible that additional CLCA family members may mediate airway hyperreactivity, but this issue requires further study. In either case, the mechanism for how hCLCA1 might signal to cause mucin gene expression and mucous cell metaplasia is a goal of ongoing studies. Initial analysis of CLCA structure and function suggests that these proteins are secreted and cleaved into fragment polypeptides. We are particularly focused on defining the possibility that hCLCA1 is a secreted protein that is cleaved into an active polypeptide that in turn binds to a receptor on the cell surface and signals to activate mucin gene expression (). This scheme for hCLCA1 (and orthologous mClca3,5,6) control over epithelial behavior can be tested in isolated airway epithelial cells as well as mouse models and then in patients with mucous cell metaplasia due to asthma or COPD or other inflammatory airway diseases. A full understanding of this pathway will eventually provide multiple targets for therapeutic intervention, including modifications of hCLCA1 expression, processing, and signaling. A particular challenge for therapeutic strategies will be to block excessive mucus prduction without compromising host defense and thereby restore proper balance to the mucociliary system.",/pmc/articles/PMC4017675/figure/F5/,PMC4017675,nihms574943f5.jpg
CLCA,MUC5AC,activate_relation,PMC4017675__nihms574943f5.jpg,Figure 5,"Anand C. Patel, et al. Annu Rev Physiol. ;71:425-449.",,"In sum, there is a critical clinical need for better understanding and treatment of inflammatory airway disease in general, and mucous cell metaplasia in particular",The Role of CLCA Proteins in Inflammatory Airway Disease.,"In sum, there is a critical clinical need for better understanding and treatment of inflammatory airway disease in general, and mucous cell metaplasia in particular. Although work is at an early stage, several lines of evidence already suggest that CLCA proteins (particularly hCLCA1) may be master regulators of mucin gene expression in humans. We have gradually developed the proposal that the airway maintains a special program for host defense and that changes in this same program may lead to airway disease. The same argument can be made for mucus secretion. Thus, under normal circumstances a physiologic level of mucus production allows for mucociliary clearance of particulate matter from the airway and aids in defense against respiratory pathogens. However, if mucus secretion is excessive, it leads to airway obstruction and consequent dysfunction. In both normal and abnormal conditions, there appears to be an immune axis that drives cytokine production, and in turn, a downstream mechanism that translates the cytokine signal into mucin gene expression. In humans, this downstream mechanism features hCLCA1, the first member of a newly defined family of “chloride channel calcium-activated” (CLCA) proteins in humans. It is possible that additional CLCA family members may mediate airway hyperreactivity, but this issue requires further study. In either case, the mechanism for how hCLCA1 might signal to cause mucin gene expression and mucous cell metaplasia is a goal of ongoing studies. Initial analysis of CLCA structure and function suggests that these proteins are secreted and cleaved into fragment polypeptides. We are particularly focused on defining the possibility that hCLCA1 is a secreted protein that is cleaved into an active polypeptide that in turn binds to a receptor on the cell surface and signals to activate mucin gene expression (). This scheme for hCLCA1 (and orthologous mClca3,5,6) control over epithelial behavior can be tested in isolated airway epithelial cells as well as mouse models and then in patients with mucous cell metaplasia due to asthma or COPD or other inflammatory airway diseases. A full understanding of this pathway will eventually provide multiple targets for therapeutic intervention, including modifications of hCLCA1 expression, processing, and signaling. A particular challenge for therapeutic strategies will be to block excessive mucus prduction without compromising host defense and thereby restore proper balance to the mucociliary system.",/pmc/articles/PMC4017675/figure/F5/,PMC4017675,nihms574943f5.jpg
HCLCA1,C-HCLCA1,activate_relation,PMC4017675__nihms574943f5.jpg,Figure 5,"Anand C. Patel, et al. Annu Rev Physiol. ;71:425-449.",,"In sum, there is a critical clinical need for better understanding and treatment of inflammatory airway disease in general, and mucous cell metaplasia in particular",The Role of CLCA Proteins in Inflammatory Airway Disease.,"In sum, there is a critical clinical need for better understanding and treatment of inflammatory airway disease in general, and mucous cell metaplasia in particular. Although work is at an early stage, several lines of evidence already suggest that CLCA proteins (particularly hCLCA1) may be master regulators of mucin gene expression in humans. We have gradually developed the proposal that the airway maintains a special program for host defense and that changes in this same program may lead to airway disease. The same argument can be made for mucus secretion. Thus, under normal circumstances a physiologic level of mucus production allows for mucociliary clearance of particulate matter from the airway and aids in defense against respiratory pathogens. However, if mucus secretion is excessive, it leads to airway obstruction and consequent dysfunction. In both normal and abnormal conditions, there appears to be an immune axis that drives cytokine production, and in turn, a downstream mechanism that translates the cytokine signal into mucin gene expression. In humans, this downstream mechanism features hCLCA1, the first member of a newly defined family of “chloride channel calcium-activated” (CLCA) proteins in humans. It is possible that additional CLCA family members may mediate airway hyperreactivity, but this issue requires further study. In either case, the mechanism for how hCLCA1 might signal to cause mucin gene expression and mucous cell metaplasia is a goal of ongoing studies. Initial analysis of CLCA structure and function suggests that these proteins are secreted and cleaved into fragment polypeptides. We are particularly focused on defining the possibility that hCLCA1 is a secreted protein that is cleaved into an active polypeptide that in turn binds to a receptor on the cell surface and signals to activate mucin gene expression (). This scheme for hCLCA1 (and orthologous mClca3,5,6) control over epithelial behavior can be tested in isolated airway epithelial cells as well as mouse models and then in patients with mucous cell metaplasia due to asthma or COPD or other inflammatory airway diseases. A full understanding of this pathway will eventually provide multiple targets for therapeutic intervention, including modifications of hCLCA1 expression, processing, and signaling. A particular challenge for therapeutic strategies will be to block excessive mucus prduction without compromising host defense and thereby restore proper balance to the mucociliary system.",/pmc/articles/PMC4017675/figure/F5/,PMC4017675,nihms574943f5.jpg
 IL-13,HCLCA1,activate_relation,PMC4017675__nihms574943f5.jpg,Figure 5,"Anand C. Patel, et al. Annu Rev Physiol. ;71:425-449.",,"In sum, there is a critical clinical need for better understanding and treatment of inflammatory airway disease in general, and mucous cell metaplasia in particular",The Role of CLCA Proteins in Inflammatory Airway Disease.,"In sum, there is a critical clinical need for better understanding and treatment of inflammatory airway disease in general, and mucous cell metaplasia in particular. Although work is at an early stage, several lines of evidence already suggest that CLCA proteins (particularly hCLCA1) may be master regulators of mucin gene expression in humans. We have gradually developed the proposal that the airway maintains a special program for host defense and that changes in this same program may lead to airway disease. The same argument can be made for mucus secretion. Thus, under normal circumstances a physiologic level of mucus production allows for mucociliary clearance of particulate matter from the airway and aids in defense against respiratory pathogens. However, if mucus secretion is excessive, it leads to airway obstruction and consequent dysfunction. In both normal and abnormal conditions, there appears to be an immune axis that drives cytokine production, and in turn, a downstream mechanism that translates the cytokine signal into mucin gene expression. In humans, this downstream mechanism features hCLCA1, the first member of a newly defined family of “chloride channel calcium-activated” (CLCA) proteins in humans. It is possible that additional CLCA family members may mediate airway hyperreactivity, but this issue requires further study. In either case, the mechanism for how hCLCA1 might signal to cause mucin gene expression and mucous cell metaplasia is a goal of ongoing studies. Initial analysis of CLCA structure and function suggests that these proteins are secreted and cleaved into fragment polypeptides. We are particularly focused on defining the possibility that hCLCA1 is a secreted protein that is cleaved into an active polypeptide that in turn binds to a receptor on the cell surface and signals to activate mucin gene expression (). This scheme for hCLCA1 (and orthologous mClca3,5,6) control over epithelial behavior can be tested in isolated airway epithelial cells as well as mouse models and then in patients with mucous cell metaplasia due to asthma or COPD or other inflammatory airway diseases. A full understanding of this pathway will eventually provide multiple targets for therapeutic intervention, including modifications of hCLCA1 expression, processing, and signaling. A particular challenge for therapeutic strategies will be to block excessive mucus prduction without compromising host defense and thereby restore proper balance to the mucociliary system.",/pmc/articles/PMC4017675/figure/F5/,PMC4017675,nihms574943f5.jpg
CADMIUM,ROS generation,activate_relation,PMC3655991__pone.0064344.g007.jpg,Figure 7,"Hironori Kato, et al. PLoS One. 2013;8(5):e64344.",2013.0,,Dual Regulation of Cadmium-Induced Apoptosis by mTORC1 through Selective Induction of IRE1 Branches in Unfolded Protein Response.,"Cd induces activation of mTORC1 through generation of ROS. mTORC1 subsequently activates IRE1 without affecting PERK and ATF6, although mTORC1-independent mechanisms may also be involved in Cd/ROS-induced IRE1 activation. Activation of the IRE1 at the kinase domain leads to phosphorylation of JNK, leading to apoptotic cell death. On the other hand, activation of the IRE1 at the RNase domain causes generation of active XBP1. This IRE1–XBP1 pathway modestly counteracts the pro-apoptotic action of IRE1–JNK signaling.",/pmc/articles/PMC3655991/figure/pone-0064344-g007/,PMC3655991,pone.0064344.g007.jpg
mTORC1,IRE1,activate_relation,PMC3655991__pone.0064344.g007.jpg,Figure 7,"Hironori Kato, et al. PLoS One. 2013;8(5):e64344.",2013.0,,Dual Regulation of Cadmium-Induced Apoptosis by mTORC1 through Selective Induction of IRE1 Branches in Unfolded Protein Response.,"Cd induces activation of mTORC1 through generation of ROS. mTORC1 subsequently activates IRE1 without affecting PERK and ATF6, although mTORC1-independent mechanisms may also be involved in Cd/ROS-induced IRE1 activation. Activation of the IRE1 at the kinase domain leads to phosphorylation of JNK, leading to apoptotic cell death. On the other hand, activation of the IRE1 at the RNase domain causes generation of active XBP1. This IRE1–XBP1 pathway modestly counteracts the pro-apoptotic action of IRE1–JNK signaling.",/pmc/articles/PMC3655991/figure/pone-0064344-g007/,PMC3655991,pone.0064344.g007.jpg
Kinase domain,JNK,activate_relation,PMC3655991__pone.0064344.g007.jpg,Figure 7,"Hironori Kato, et al. PLoS One. 2013;8(5):e64344.",2013.0,,Dual Regulation of Cadmium-Induced Apoptosis by mTORC1 through Selective Induction of IRE1 Branches in Unfolded Protein Response.,"Cd induces activation of mTORC1 through generation of ROS. mTORC1 subsequently activates IRE1 without affecting PERK and ATF6, although mTORC1-independent mechanisms may also be involved in Cd/ROS-induced IRE1 activation. Activation of the IRE1 at the kinase domain leads to phosphorylation of JNK, leading to apoptotic cell death. On the other hand, activation of the IRE1 at the RNase domain causes generation of active XBP1. This IRE1–XBP1 pathway modestly counteracts the pro-apoptotic action of IRE1–JNK signaling.",/pmc/articles/PMC3655991/figure/pone-0064344-g007/,PMC3655991,pone.0064344.g007.jpg
RNase domain,XBP1(S),activate_relation,PMC3655991__pone.0064344.g007.jpg,Figure 7,"Hironori Kato, et al. PLoS One. 2013;8(5):e64344.",2013.0,,Dual Regulation of Cadmium-Induced Apoptosis by mTORC1 through Selective Induction of IRE1 Branches in Unfolded Protein Response.,"Cd induces activation of mTORC1 through generation of ROS. mTORC1 subsequently activates IRE1 without affecting PERK and ATF6, although mTORC1-independent mechanisms may also be involved in Cd/ROS-induced IRE1 activation. Activation of the IRE1 at the kinase domain leads to phosphorylation of JNK, leading to apoptotic cell death. On the other hand, activation of the IRE1 at the RNase domain causes generation of active XBP1. This IRE1–XBP1 pathway modestly counteracts the pro-apoptotic action of IRE1–JNK signaling.",/pmc/articles/PMC3655991/figure/pone-0064344-g007/,PMC3655991,pone.0064344.g007.jpg
XBP1(S),APOPTOSIS,inhibit_relation,PMC3655991__pone.0064344.g007.jpg,Figure 7,"Hironori Kato, et al. PLoS One. 2013;8(5):e64344.",2013.0,,Dual Regulation of Cadmium-Induced Apoptosis by mTORC1 through Selective Induction of IRE1 Branches in Unfolded Protein Response.,"Cd induces activation of mTORC1 through generation of ROS. mTORC1 subsequently activates IRE1 without affecting PERK and ATF6, although mTORC1-independent mechanisms may also be involved in Cd/ROS-induced IRE1 activation. Activation of the IRE1 at the kinase domain leads to phosphorylation of JNK, leading to apoptotic cell death. On the other hand, activation of the IRE1 at the RNase domain causes generation of active XBP1. This IRE1–XBP1 pathway modestly counteracts the pro-apoptotic action of IRE1–JNK signaling.",/pmc/articles/PMC3655991/figure/pone-0064344-g007/,PMC3655991,pone.0064344.g007.jpg
JNK,APOPTOSIS,activate_relation,PMC3655991__pone.0064344.g007.jpg,Figure 7,"Hironori Kato, et al. PLoS One. 2013;8(5):e64344.",2013.0,,Dual Regulation of Cadmium-Induced Apoptosis by mTORC1 through Selective Induction of IRE1 Branches in Unfolded Protein Response.,"Cd induces activation of mTORC1 through generation of ROS. mTORC1 subsequently activates IRE1 without affecting PERK and ATF6, although mTORC1-independent mechanisms may also be involved in Cd/ROS-induced IRE1 activation. Activation of the IRE1 at the kinase domain leads to phosphorylation of JNK, leading to apoptotic cell death. On the other hand, activation of the IRE1 at the RNase domain causes generation of active XBP1. This IRE1–XBP1 pathway modestly counteracts the pro-apoptotic action of IRE1–JNK signaling.",/pmc/articles/PMC3655991/figure/pone-0064344-g007/,PMC3655991,pone.0064344.g007.jpg
ROS generation,mTORC1,activate_relation,PMC3655991__pone.0064344.g007.jpg,Figure 7,"Hironori Kato, et al. PLoS One. 2013;8(5):e64344.",2013.0,,Dual Regulation of Cadmium-Induced Apoptosis by mTORC1 through Selective Induction of IRE1 Branches in Unfolded Protein Response.,"Cd induces activation of mTORC1 through generation of ROS. mTORC1 subsequently activates IRE1 without affecting PERK and ATF6, although mTORC1-independent mechanisms may also be involved in Cd/ROS-induced IRE1 activation. Activation of the IRE1 at the kinase domain leads to phosphorylation of JNK, leading to apoptotic cell death. On the other hand, activation of the IRE1 at the RNase domain causes generation of active XBP1. This IRE1–XBP1 pathway modestly counteracts the pro-apoptotic action of IRE1–JNK signaling.",/pmc/articles/PMC3655991/figure/pone-0064344-g007/,PMC3655991,pone.0064344.g007.jpg
JAK-3,STAT1,activate_relation,PMC4983539__nihms-794214-f0003.jpg,Figure 3,"Dia C. Beachboard, et al. Curr Opin Microbiol. ;32:113-119.",,,Innate Immune Evasion Strategies of DNA and RNA viruses.,"Once induced, IFNs are secreted from the infected cell and signal in an autocrine and paracrine manner through the JAK/STAT pathway. This signaling leads to the activation of the ISGF3 complex, which consists of STAT1, STAT2, and IRF9, and translocates to the nucleus to induce ISGs with broad antiviral functions. Both STAT1 and STAT2 are inhibited by viruses, as shown here. Abbreviations: Dengue virus (DenV), hepatitis C virus (HCV), and interferon α receptor (IFNAR).",/pmc/articles/PMC4983539/figure/F3/,PMC4983539,nihms-794214-f0003.jpg
biosynthesis,DEGRADATION,activate_relation,PMC2173635__200310090f1.jpg,Figure 1,"Mark Peifer, et al. J Cell Biol. 2003 Nov 10;163(3):437-440.",2003.0,The cellular itinerary and fate of classical cadherins,Traffic control.,"The cellular itinerary and fate of classical cadherins. (A) Adherens junctions are assembled around classic cadherins. Their extracellular domains mediate homophilic cell–cell adhesion. The distal regions of their cytoplasmic tails bind β-catenin, which in turn binds α-catenin. α -catenin links the junction to the actin cytoskeleton via direct and indirect interactions. The juxtamembrane domain of the cadherin cytoplasmic tail binds proteins of the p120 family. (B) The surface expression of E-cadherin is one facet of a complex trafficking network. Upon delivery to the cell surface, classical cadherins may adopt either of two fates. Productive homophilic ligation and attachment to the cytoskeleton allows cadherins to be retained at the cell surface, supporting lateral clustering and assembly of cadherins into adherens junctions (red arrow). Alternatively, cadherins may be endocytosed. They then can either be trafficked back to the cell surface (via a post-Golgi recycling pathway) or ultimately targeted for degradation, at least in part via lysosomes. Cadherins delivered to the cell surface can thus derive either from newly synthesized material or via the recycling pathway. p120 appears to play a key gatekeeper function in determining the fate of cadherins after delivery to the surface. When incorporated into the cadherin complex p120 can also potentially coordinate a range of other activities, including surface adhesion, cadherin clustering, and cell signaling.",/pmc/articles/PMC2173635/figure/fig1/,PMC2173635,200310090f1.jpg
biosynthesis,RECYCLING,activate_relation,PMC2173635__200310090f1.jpg,Figure 1,"Mark Peifer, et al. J Cell Biol. 2003 Nov 10;163(3):437-440.",2003.0,The cellular itinerary and fate of classical cadherins,Traffic control.,"The cellular itinerary and fate of classical cadherins. (A) Adherens junctions are assembled around classic cadherins. Their extracellular domains mediate homophilic cell–cell adhesion. The distal regions of their cytoplasmic tails bind β-catenin, which in turn binds α-catenin. α -catenin links the junction to the actin cytoskeleton via direct and indirect interactions. The juxtamembrane domain of the cadherin cytoplasmic tail binds proteins of the p120 family. (B) The surface expression of E-cadherin is one facet of a complex trafficking network. Upon delivery to the cell surface, classical cadherins may adopt either of two fates. Productive homophilic ligation and attachment to the cytoskeleton allows cadherins to be retained at the cell surface, supporting lateral clustering and assembly of cadherins into adherens junctions (red arrow). Alternatively, cadherins may be endocytosed. They then can either be trafficked back to the cell surface (via a post-Golgi recycling pathway) or ultimately targeted for degradation, at least in part via lysosomes. Cadherins delivered to the cell surface can thus derive either from newly synthesized material or via the recycling pathway. p120 appears to play a key gatekeeper function in determining the fate of cadherins after delivery to the surface. When incorporated into the cadherin complex p120 can also potentially coordinate a range of other activities, including surface adhesion, cadherin clustering, and cell signaling.",/pmc/articles/PMC2173635/figure/fig1/,PMC2173635,200310090f1.jpg
RECYCLING,RECYCLING,activate_relation,PMC2173635__200310090f1.jpg,Figure 1,"Mark Peifer, et al. J Cell Biol. 2003 Nov 10;163(3):437-440.",2003.0,The cellular itinerary and fate of classical cadherins,Traffic control.,"The cellular itinerary and fate of classical cadherins. (A) Adherens junctions are assembled around classic cadherins. Their extracellular domains mediate homophilic cell–cell adhesion. The distal regions of their cytoplasmic tails bind β-catenin, which in turn binds α-catenin. α -catenin links the junction to the actin cytoskeleton via direct and indirect interactions. The juxtamembrane domain of the cadherin cytoplasmic tail binds proteins of the p120 family. (B) The surface expression of E-cadherin is one facet of a complex trafficking network. Upon delivery to the cell surface, classical cadherins may adopt either of two fates. Productive homophilic ligation and attachment to the cytoskeleton allows cadherins to be retained at the cell surface, supporting lateral clustering and assembly of cadherins into adherens junctions (red arrow). Alternatively, cadherins may be endocytosed. They then can either be trafficked back to the cell surface (via a post-Golgi recycling pathway) or ultimately targeted for degradation, at least in part via lysosomes. Cadherins delivered to the cell surface can thus derive either from newly synthesized material or via the recycling pathway. p120 appears to play a key gatekeeper function in determining the fate of cadherins after delivery to the surface. When incorporated into the cadherin complex p120 can also potentially coordinate a range of other activities, including surface adhesion, cadherin clustering, and cell signaling.",/pmc/articles/PMC2173635/figure/fig1/,PMC2173635,200310090f1.jpg
RECYCLING,DEGRADATION,activate_relation,PMC2173635__200310090f1.jpg,Figure 1,"Mark Peifer, et al. J Cell Biol. 2003 Nov 10;163(3):437-440.",2003.0,The cellular itinerary and fate of classical cadherins,Traffic control.,"The cellular itinerary and fate of classical cadherins. (A) Adherens junctions are assembled around classic cadherins. Their extracellular domains mediate homophilic cell–cell adhesion. The distal regions of their cytoplasmic tails bind β-catenin, which in turn binds α-catenin. α -catenin links the junction to the actin cytoskeleton via direct and indirect interactions. The juxtamembrane domain of the cadherin cytoplasmic tail binds proteins of the p120 family. (B) The surface expression of E-cadherin is one facet of a complex trafficking network. Upon delivery to the cell surface, classical cadherins may adopt either of two fates. Productive homophilic ligation and attachment to the cytoskeleton allows cadherins to be retained at the cell surface, supporting lateral clustering and assembly of cadherins into adherens junctions (red arrow). Alternatively, cadherins may be endocytosed. They then can either be trafficked back to the cell surface (via a post-Golgi recycling pathway) or ultimately targeted for degradation, at least in part via lysosomes. Cadherins delivered to the cell surface can thus derive either from newly synthesized material or via the recycling pathway. p120 appears to play a key gatekeeper function in determining the fate of cadherins after delivery to the surface. When incorporated into the cadherin complex p120 can also potentially coordinate a range of other activities, including surface adhesion, cadherin clustering, and cell signaling.",/pmc/articles/PMC2173635/figure/fig1/,PMC2173635,200310090f1.jpg
NICD,NICD,activate_relation,PMC3365567__nihms378339f1.jpg,Fig. (1),Benjamin Purow. Curr Pharm Biotechnol. ;10(2):154-160.,,Overview of Notch pathway,Notch Inhibitors as a New Tool in the War on Cancer: A Pathway to Watch.,Overview of Notch pathway.,/pmc/articles/PMC3365567/figure/F1/,PMC3365567,nihms378339f1.jpg
CBF1, HES,activate_relation,PMC3365567__nihms378339f1.jpg,Fig. (1),Benjamin Purow. Curr Pharm Biotechnol. ;10(2):154-160.,,Overview of Notch pathway,Notch Inhibitors as a New Tool in the War on Cancer: A Pathway to Watch.,Overview of Notch pathway.,/pmc/articles/PMC3365567/figure/F1/,PMC3365567,nihms378339f1.jpg
